Package,LibPath,Version,Priority,Built
nloptr,/Users/amanda/Library/R/3.3/library,1.0.4,NA,3.3.3
NLP,/Users/amanda/Library/R/3.3/library,0.1-11,NA,3.3.2
NMF,/Users/amanda/Library/R/3.3/library,0.20.6,NA,3.3.3
nnet,/Users/amanda/Library/R/3.3/library,7.3-12,recommended,3.3.3
numDeriv,/Users/amanda/Library/R/3.3/library,2016.8-1,NA,3.3.0
openssl,/Users/amanda/Library/R/3.3/library,0.9.7,NA,3.3.3
openxlsx,/Users/amanda/Library/R/3.3/library,4.0.17,NA,3.3.3
ordinal,/Users/amanda/Library/R/3.3/library,2015.6-28,NA,3.3.3
packrat,/Users/amanda/Library/R/3.3/library,0.4.8-1,NA,3.3.3
pacman,/Users/amanda/Library/R/3.3/library,0.4.6,NA,3.3.3
padr,/Users/amanda/Library/R/3.3/library,0.3.0,NA,3.3.2
party,/Users/amanda/Library/R/3.3/library,1.2-3,NA,3.3.2
PASWR,/Users/amanda/Library/R/3.3/library,1.1,NA,3.3.3
pbdZMQ,/Users/amanda/Library/R/3.3/library,0.2-6,NA,3.3.3
pbkrtest,/Users/amanda/Library/R/3.3/library,0.4-7,NA,3.3.3
PerformanceAnalytics,/Users/amanda/Library/R/3.3/library,1.4.3541,NA,3.3.0
pillar,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
pkgbuild,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
pkgconfig,/Users/amanda/Library/R/3.3/library,2.0.1,NA,3.3.3
pkgload,/Users/amanda/Library/R/3.3/library,0.0.0.9000,NA,3.3.3
pkgmaker,/Users/amanda/Library/R/3.3/library,0.22,NA,3.3.3
PKI,/Users/amanda/Library/R/3.3/library,0.1-5.1,NA,3.3.2
plogr,/Users/amanda/Library/R/3.3/library,0.1-1,NA,3.3.3
plot3D,/Users/amanda/Library/R/3.3/library,1.1.1,NA,3.3.2
plotly,/Users/amanda/Library/R/3.3/library,4.7.1,NA,3.3.2
plyr,/Users/amanda/Library/R/3.3/library,1.8.4,NA,3.3.3
png,/Users/amanda/Library/R/3.3/library,0.1-7,NA,3.3.0
prabclus,/Users/amanda/Library/R/3.3/library,2.2-6,NA,3.3.3
praise,/Users/amanda/Library/R/3.3/library,1.0.0,NA,3.3.3
prettyunits,/Users/amanda/Library/R/3.3/library,1.0.2,NA,3.3.0
processx,/Users/amanda/Library/R/3.3/library,2.0.0.1,NA,3.3.3
prodlim,/Users/amanda/Library/R/3.3/library,1.6.1,NA,3.3.2
profvis,/Users/amanda/Library/R/3.3/library,0.3.3,NA,3.3.2
progress,/Users/amanda/Library/R/3.3/library,1.1.2,NA,3.3.2
ProjectTemplate,/Users/amanda/Library/R/3.3/library,0.8,NA,3.3.2
promises,/Users/amanda/Library/R/3.3/library,0.1.0.9001,NA,3.3.3
proto,/Users/amanda/Library/R/3.3/library,1.0.0,NA,3.3.3
proxy,/Users/amanda/Library/R/3.3/library,0.4-19,NA,3.3.2
pryr,/Users/amanda/Library/R/3.3/library,0.1.3,NA,3.3.2
psych,/Users/amanda/Library/R/3.3/library,1.7.8,NA,3.3.3
purrr,/Users/amanda/Library/R/3.3/library,0.2.4,NA,3.3.2
purrrlyr,/Users/amanda/Library/R/3.3/library,0.0.2,NA,3.3.2
qap,/Users/amanda/Library/R/3.3/library,0.1-1,NA,3.3.2
Quandl,/Users/amanda/Library/R/3.3/library,2.8.0,NA,3.3.0
